BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201908,17,1718,201908,17,1718,140169,853752,PENNSYLVANIA,42,August,Thunderstorm Wind,C,15,BRADFORD,BGM,17/08/19 17:18,EST-5,17/08/19 17:18,0,0,0,0,5000,0,Public,50,EG,2,ENE,NORTH ROME,2,ENE,NORTH ROME,41.88,-76.35,41.88,-76.35,An upper level short wave moved through portions of Northeast Pennsylvania during the late afternoon and early evening of the 17th. This sparked a few severe thunderstorms across the area.,Strong thunderstorm winds brought down at least two trees in a campground.,CSV
201906,30,1826,201906,30,1826,138699,833983,ILLINOIS,17,June,Thunderstorm Wind,C,73,HENRY,DVN,30/06/19 18:26,CST-6,30/06/19 18:26,0,0,0,0,0,0,Emergency Manager,65,EG,1,SSE,GALVA,1,SSE,GALVA,41.15,-90.04,41.15,-90.04,"A line of thunderstorms tracked southeast across northeast Iowa into eastern Iowa and northwest Illinois during the afternoon and evening of Sunday, June 30, 2019, bringing widespread downed trees and power lines as 50-70 mph winds rolled through.  The strongest winds were recorded in Dubuque County, where a wind gust of 76 mph was observed at the Dubuque Regional Airport.  Several hometowns were without power after the storms passed.",The Emergency Manager reported that a tree was snapped off at the base and down owr liens near this location.,CSV
201906,24,1727,201906,24,1727,139712,840305,VIRGINIA,51,June,Thunderstorm Wind,C,33,CAROLINE,AKQ,24/06/19 17:27,EST-5,24/06/19 17:27,0,0,0,0,2000,0,911 Call Center,50,EG,1,E,PORT ROYAL,1,E,PORT ROYAL,38.17,-77.19,38.17,-77.19,Scattered severe thunderstorms in advance of a surface trough produced damaging winds across portions of central Virginia.,Power pole was downed near the intersection of Back Street and Patricia Lane.,CSV
201907,2,1530,201907,2,1530,140174,843214,WISCONSIN,55,July,Thunderstorm Wind,C,79,MILWAUKEE,MKX,02/07/19 15:30,CST-6,02/07/19 15:30,0,0,0,0,500,0,Public,50,EG,1,WSW,MILWAUKEE COUNTY ZOO,1,WSW,MILWAUKEE COUNTY ZOO,43.0201,-88.0645,43.0201,-88.0645,The passage of a weak cold front led to several severe thunderstorms over southeast Wisconsin during the afternoon. Scattered tree damage occurred.,A 12 inch diameter branch down.,CSV
201907,30,1525,201907,30,1525,138404,832496,TEXAS,48,July,Thunderstorm Wind,C,291,LIBERTY,HGX,30/07/19 15:25,CST-6,30/07/19 15:25,0,0,0,0,0,500,Public,52,EG,3,WSW,MOSS BLUFF,3,WSW,MOSS BLUFF,29.91,-94.81,29.91,-94.81,Storms developed and moved into the area from the northeast and produced large hail and damaging wind gusts.,Large limbs and a few trees were downed.  Dime sized hail was also reported.,CSV
201904,12,659,201904,12,709,134743,807490,OHIO,39,April,Thunderstorm Wind,C,165,WARREN,ILN,12/04/19 6:59,EST-5,12/04/19 7:09,0,0,0,0,10000,0,Emergency Manager,56,EG,1,SE,SPRINGBORO,1,SE,SPRINGBORO,39.54,-84.22,39.54,-84.22,A line of thunderstorms moved east through the region ahead of an advancing cold front.,"Four trees were snapped and several other trees were knocked down. In addition, there was damage to a fence.",CSV
201908,7,1339,201908,7,1339,141263,848695,WISCONSIN,55,August,Thunderstorm Wind,C,53,JACKSON,ARX,07/08/19 13:39,CST-6,07/08/19 13:39,0,0,0,0,2000,0,Public,35,EG,2,N,DISCO,2,N,DISCO,44.3,-91,44.3,-91,"Scattered thunderstorms moved across the northern and central sections of Wisconsin during the afternoon and evening of August 7th. Some of these storms became strong enough to produce damaging winds. A 60 mph wind gust occurred near Spencer (Clark County) and trees were blown down across portions of Clark, Jackson and Adams Counties.",Trees were blown over north of Disco.,CSV
201904,12,723,201904,12,733,134743,807582,OHIO,39,April,Thunderstorm Wind,C,57,GREENE,ILN,12/04/19 7:23,EST-5,12/04/19 7:33,0,0,0,0,3000,0,Emergency Manager,56,EG,3,ESE,YELLOW SPGS,3,ESE,YELLOW SPGS,39.79,-83.82,39.79,-83.82,A line of thunderstorms moved east through the region ahead of an advancing cold front.,A tree fell on a house.,CSV
201906,26,1650,201906,26,1650,137943,829007,MISSOURI,29,June,Thunderstorm Wind,C,133,MISSISSIPPI,PAH,26/06/19 16:50,CST-6,26/06/19 16:50,0,0,0,0,1000,0,Public,52,EG,0,N,EAST PRAIRIE,0,N,EAST PRAIRIE,36.78,-89.38,36.78,-89.38,"Loosely organized clusters of thunderstorms produced isolated damaging winds, flash flooding, and large hail. A mesoscale vorticity center from earlier thunderstorms moved eastward across southern Missouri during the afternoon. Very warm and moist air in advance of this vorticity center contributed to strong instability, with mixed-layer capes around 3000. Around 25 to 40 knots of westerly flow in the mid levels of the atmosphere was sufficient for loosely organized thunderstorm clusters, a few of which were severe.",Large tree limbs were down in East Prairie.,CSV
201907,22,1633,201907,22,1633,138645,834653,NEW JERSEY,34,July,Thunderstorm Wind,C,7,CAMDEN,PHI,22/07/19 16:33,EST-5,22/07/19 16:33,0,0,0,0,0,0,Trained Spotter,60,EG,1,N,ERLTON,1,N,ERLTON,39.93,-75.05,39.93,-75.05,"A frontal boundary stalled over the mid-Atlantic on July 22. An approaching upper level trough helped spur the development of a wave of low pressure along the front. A very favorable environment for convection and severe weather developed along and south of this boundary. Extremely high moisture content was present in the air mass, allowing moderate to strong instability to build during the heating of the day. The frontal boundary and developing low also helped to enhance both low level and deep layer shear to respectably strong values for midsummer. The result was a day of widespread severe weather. Discrete storms early in the afternoon gave way to a powerful mesoscale convective system in the evening which produced widespread damaging winds with considerable damage over a large area.",Several large trees fell across the roadway in Audubon/Westmont just off Cuthbert Blvd. Time estimated from radar.,CSV
201906,26,2354,201906,26,2354,136956,821869,GULF OF MEXICO,85,June,Marine Thunderstorm Wind,Z,830,TAMPA BAY,TBW,26/06/19 23:54,EST-5,26/06/19 23:54,0,0,0,0,0,0,Mesonet,35,MG,6,W,MIDDLE TAMPA BAY,6,W,MIDDLE TAMPA BAY,27.7606,-82.6269,27.7606,-82.6269,Deep moisture and easterly flow led to scattered to numerous sea breeze thunderstorms moving west into from the Florida Peninsula into the eastern Gulf of Mexico. Some of these storms caused gusty winds along the coast.,The NOS/PORTS station at St. Petersburg (SAPF1) reported a 35 knot thunderstorm wind gust.,CSV
201904,19,1250,201904,19,1250,134861,808319,GULF OF MEXICO,85,April,Marine Thunderstorm Wind,Z,830,TAMPA BAY,TBW,19/04/19 12:50,EST-5,19/04/19 12:50,0,0,0,0,0,0,Buoy,46,EG,2,W,MIDDLE TAMPA BAY,2,W,MIDDLE TAMPA BAY,27.77,-82.57,27.77,-82.57,"A cold front moving southeast through the eastern Gulf of Mexico into the Florida Peninsula helped produce a band of strong thunderstorms that pushed through the coastal waters and into the coast, producing gusty winds.",The WeatherFlow station at the J-Cut buoy in the Tampa Bay reported a 46 knot marine thunderstorm wind gust.,CSV
